author_channel_id,autor,n_videos,n_comentarios,canales_distintos,me_gusta,videos_comentados
UCvcu1kR8xMYy_I1Ty-2mV2Q,@hashojea7348,3,4,1,0,"WIUZtitfLRw, ndAZjHqzzT8, yLZS3JiEBg8"
UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,3,3,1,4,"j43HgwYFKfk, n8iP75gIpmw, ndAZjHqzzT8"
UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,2,3,2,14,"PjmxCj-a9Hg, n8iP75gIpmw"
UCylqlpsh8ENNM1LqgQ1KbxA,@Jel.Awesh.M,2,3,1,1,"j43HgwYFKfk, n8iP75gIpmw"
UCbrtvygfRT6QXqWDNrOf-cA,@Alejandro00710,2,2,1,0,"ndAZjHqzzT8, yLZS3JiEBg8"
UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,2,2,2,0,"is3Mk5oC19g, j43HgwYFKfk"
UCjZgFEowMBrsjodqfovzdKw,@franciscoflores3120,2,2,2,0,"06mFNPU0aB8, 6W4u8sGEnGM"
UCsUCN0Yq_UyTvKjOJLmNrnQ,@moisesvaldez4043,2,2,2,0,"b_Hkrkl3adA, n8iP75gIpmw"
UCzZ6dDCEsLMXbc5pCFXIprw,@josegil3813,2,2,1,0,"6W4u8sGEnGM, PjmxCj-a9Hg"
