tipo_emisor,n_videos,n_comentarios,n_autores,me_gusta_medio,me_gusta_mediano,me_gusta_max,tokens_medianos,polaridad_media,respuestas_totales,comentarios_por_video,autores_por_comentario
institucional,3,95,75,19.021,1.0,405,7.0,0.256,31,31.7,0.789
medio periodístico,16,311,259,1.666,0.0,31,7.0,-0.068,20,19.4,0.833
