tipo de emisor,comentarios,negativo,neutro,positivo,polaridad_media,% negativo,% neutro,% positivo
medio periodístico,311,77,176,58,-0.061,24.8,56.6,18.6
institucional,95,13,46,36,0.242,13.7,48.4,37.9
