Comunidad,Autores,Videos,Comentarios,Autores con más de un video,Videos incluidos
1,125,1,159,1,Qué rico come tu diputado
2,47,1,49,1,La cooptación de Walter Mazariegos en la USAC
3,29,3,36,3,Internet: escoger el menos malo | Caminar en una ciudad hecha para carros | Arroz con pollo a la MONOPOLIO
