channel_name_v,n_con_lexico,polaridad_media
TN23 Guatemala,3,-1.0
Quorum,118,-0.201
Noti7,4,0.0
Gobierno de la República de Guatemala,37,0.387
Noticias Telemundo,8,0.458
Municipalidad de Guatemala,12,0.833
PrensaLibreOficial,2,1.0
