entidad,identificador,n_en_videos,n_en_comentarios
Canal (dueño del video),channel_id,97.0,8.0
Video,video_id,293.0,19.0
Comentario,comment_id,,406.0
Autor de comentario,author_channel_id,,332.0
Categoría,category,11.0,
Consulta de búsqueda,source_query,21.0,6.0
